train_loss,valid_loss
0.963397,0.910761
0.925546,0.899091
0.900893,0.692336
0.638597,0.532412
0.547196,0.420362
0.479235,0.346173
0.417710,0.300143
0.366534,0.275526
0.329454,0.262774
0.301895,0.240705
0.282083,0.239755
0.264739,0.203594
0.250547,0.216230
0.241658,0.204683
0.235889,0.182414
0.231652,0.182854
0.255750,0.183695
0.244094,0.216470
0.249083,0.196628
0.235273,0.192685
0.341809,0.220737
0.304296,0.218612
0.666769,0.974826
0.973674,0.975767
0.973929,0.975638
0.973866,0.975685
0.973982,0.976167
0.973799,0.975942
0.973949,0.976684
0.973845,0.975772
0.974189,0.976092
0.974309,0.975382
0.974150,0.975185
0.973089,0.975741
0.973644,0.976067
0.974001,0.975733
0.973761,0.975714
0.973772,0.975729
0.973439,0.975711
0.973668,0.975926
0.973813,0.975720
0.974014,0.976019
0.973819,0.975809
0.973600,0.975581
0.973865,0.976080
0.973402,0.975667
0.974055,0.975863
0.973775,0.976133
0.974205,0.975351
0.974021,0.976198
0.973562,0.975726
0.974085,0.976006
0.973561,0.976108
0.973629,0.975355
0.973891,0.976302
0.973870,0.976495
0.973703,0.975217
0.973713,0.975534
0.973516,0.976059
0.973929,0.976324
0.973635,0.975984
0.973773,0.975862
0.974007,0.976173
0.973958,0.976333
0.973761,0.974948
0.974065,0.975565
0.973651,0.975900
0.973580,0.975523
0.974090,0.975759
0.973614,0.975687
0.974112,0.976033
0.974108,0.975588
0.973833,0.975564
0.973686,0.975374
0.973789,0.976004
0.973914,0.976156
0.973987,0.975679
0.973687,0.975678
0.974148,0.976198
0.973609,0.976260
0.973207,0.975901
0.973905,0.975717
0.973568,0.976168
0.973967,0.975689
0.973940,0.975805
0.973695,0.975947
0.973990,0.975921
0.973644,0.975868
0.973790,0.975871
0.973781,0.976162
0.974030,0.975123
0.973580,0.975527
0.974161,0.976057
0.973802,0.975851
0.974040,0.975381
0.973827,0.975933
0.973620,0.975594
0.973295,0.975860
0.973802,0.975726
0.973708,0.975925
